,0
172,100000004d8a649d
173,100000004eb65d0e
174,100000004efd18bb
175,100000004f0431a0
176,1000000050397941
177,10000000505dafe7
178,1000000050f6f4cf
179,10000000525c6760
180,1000000052971cab
181,1000000052d1efc6
182,10000000530b4e00
183,100000005386f997
184,1000000053b3a5ab
185,1000000053f7210c
186,1000000054dc7195
187,10000000556a875f
188,1000000056bedc7f
189,10000000570d71f9
190,10000000572dccf6
191,10000000576246ac
192,10000000576a510c
193,1000000058161135
194,1000000058884c9f
195,100000005902f72f
196,100000005a915230
197,100000005b2516b0
198,100000005cce21e1
199,100000005cd223bb
200,100000005cf9d3d6
201,100000005d6d2f5c
202,100000005e51c1a0
203,100000005fed2302
204,10000000600b6db7
205,10000000601b420f
206,10000000606ed2ec
207,1000000060f05649
208,1000000060f2be07
209,10000000615b5899
210,10000000616c72c4
211,10000000616d8d36
212,10000000622ac6db
213,1000000062421991
214,10000000628a6dd7
215,1000000062b9175f
216,1000000062eaa03e
217,1000000063080c3a
218,100000006391895a
219,100000006415e46d
220,10000000641b6e05
221,1000000064e338d4
222,10000000652f7468
223,10000000657918d3
224,1000000065aa1635
225,100000006689ba2b
226,10000000668cec55
227,1000000066c0dea7
228,100000006700dfa1
229,1000000067077781
230,10000000670d6129
231,100000006761e34b
232,1000000067ffbe14
233,10000000682a241f
234,1000000069d55b91
235,1000000069de022e
236,1000000069e26c8f
237,100000006a60d04a
238,100000006b5d87fb
239,100000006baec524
240,100000006bc4fc60
241,100000006be3b351
242,100000006bf1df30
243,100000006bf7a41b
244,100000006c269f37
245,100000006cc2486d
246,100000006d01a130
247,100000006d08ec35
248,100000006d4dd9ee
249,100000006e0c4dcf
250,100000006ebc8907
251,100000006f338f46
252,100000007093eedd
253,1000000071b0f57e
254,1000000072186e21
255,1000000072d7e836
256,100000007309102c
257,10000000732fc545
258,10000000735c7df8
259,10000000739c7090
260,1000000073ede5c0
261,1000000074a55955
262,1000000074fa862d
263,10000000757ee563
264,1000000077713393
265,1000000078e52148
266,1000000079249ae1
267,100000007988243f
268,1000000079ae3f63
269,100000007a32e7d8
270,100000007aadb3f3
271,100000007ae8622a
272,100000007b3f6ecb
273,100000007b9437c0
274,100000007bb7fa93
275,100000007bd0a75e
276,100000007d22b2a3
277,100000007e1146a3
278,100000007e60e742
279,100000007f01da7b
280,100000007f2f4c5e
281,100000007f783276
282,100000007f90ad64
283,100000007ff1437e
284,1000000080ee9983
285,1000000081389f1a
286,100000008225573f
287,10000000829aefd1
288,1000000082b08ca0
289,1000000084346550
290,1000000084581bf8
291,10000000855e4a54
