Serial number 110923044's Json reads: Device id: 100000002b6d22ae, Device Type: hub, S3 Entry #1
Serial number 081123011's Json reads: Device id: 100000002c68c8e6, Device Type: hub, S3 Entry #1
Serial number 020924029's Json reads: Device id: 100000002cc960b2, Device Type: hub, S3 Entry #1
Serial number 110923027's Json reads: Device id: 100000002ce70c84, Device Type: hub, S3 Entry #1
Serial number 022124058's Json reads: Device id: 100000002d01aaa3, Device Type: hub, S3 Entry #1
Serial number 090123023's Json reads: Device id: 100000002d209f22, Device Type: hub, S3 Entry #1
Serial number 120723010's Json reads: Device id: 100000002daa4569, Device Type: hub, S3 Entry #1
Serial number 112723012's Json reads: Device id: 100000002e5fc83f, Device Type: hub, S3 Entry #1
Serial number 112723012's Json reads: Device id: 100000002e5fc83f, Device Type: hub, S3 Entry #2
Serial number 022124056's Json reads: Device id: 100000002e737cc0, Device Type: hub, S3 Entry #1
Serial number 081123007's Json reads: Device id: 100000003046d823, Device Type: hub, S3 Entry #1
Serial number 111423006's Json reads: Device id: 10000000307d5d15, Device Type: hub, S3 Entry #1
Serial number 081123020's Json reads: Device id: 100000003095db16, Device Type: hub, S3 Entry #1
Serial number 110923043's Json reads: Device id: 1000000031672135, Device Type: hub, S3 Entry #1
Serial number 101223004's Json reads: Device id: 10000000329ce5ce, Device Type: hub, S3 Entry #1
Serial number 081123019's Json reads: Device id: 1000000032a1d5f1, Device Type: hub, S3 Entry #1
Serial number 101223019's Json reads: Device id: 10000000336b8149, Device Type: hub, S3 Entry #1
Serial number 101223019's Json reads: Device id: 10000000336b8149, Device Type: hub, S3 Entry #2
Serial number 120723009's Json reads: Device id: 1000000033e50e30, Device Type: hub, S3 Entry #1
Serial number 101223034's Json reads: Device id: 1000000034bf2703, Device Type: hub, S3 Entry #1
Serial number 022124055's Json reads: Device id: 1000000034f10f7d, Device Type: hub, S3 Entry #1
Serial number 081123025's Json reads: Device id: 1000000035689137, Device Type: hub, S3 Entry #1
Serial number 020924040's Json reads: Device id: 100000003578709b, Device Type: hub, S3 Entry #1
Serial number 112723022's Json reads: Device id: 10000000360fd3ae, Device Type: hub, S3 Entry #1
Serial number 112723022's Json reads: Device id: 10000000360fd3ae, Device Type: hub, S3 Entry #2
Serial number 100223011's Json reads: Device id: 100000003611e8d4, Device Type: hub, S3 Entry #1
Serial number 010124004's Json reads: Device id: 1000000036803540, Device Type: hub, S3 Entry #1
Serial number 100223035's Json reads: Device id: 1000000036b725aa, Device Type: hub, S3 Entry #1
Serial number 032024053's Json reads: Device id: 10000000376d9e25, Device Type: hub, S3 Entry #1
Serial number 120723011's Json reads: Device id: 10000000382ffbce, Device Type: hub, S3 Entry #1
Serial number 100223036's Json reads: Device id: 1000000038cb9742, Device Type: hub, S3 Entry #1
Serial number 110923035's Json reads: Device id: 1000000038f12e07, Device Type: hub, S3 Entry #1
Serial number 101223035's Json reads: Device id: 10000000391f5111, Device Type: hub, S3 Entry #1
Serial number 090123003's Json reads: Device id: 1000000039fb05d6, Device Type: hub, S3 Entry #1
Serial number 020924045's Json reads: Device id: 100000003a04480f, Device Type: hub, S3 Entry #1
Serial number 020924050's Json reads: Device id: 100000003b665c0b, Device Type: hub, S3 Entry #1
Serial number 101223030's Json reads: Device id: 100000003bdde3c3, Device Type: hub, S3 Entry #1
Serial number 100223038's Json reads: Device id: 100000003bffdcb8, Device Type: hub, S3 Entry #1
Serial number 120723027's Json reads: Device id: 100000003c5ccef7, Device Type: hub, S3 Entry #1
Serial number 111423005's Json reads: Device id: 100000003cf2bf7c, Device Type: hub, S3 Entry #1
Serial number 110923063's Json reads: Device id: 100000003dcccdac, Device Type: hub, S3 Entry #1
Serial number 110923064's Json reads: Device id: 100000003e046977, Device Type: hub, S3 Entry #1
