,0
118,100000002e737cc0
119,100000002ed4107f
120,100000002f304864
121,100000003046d823
122,10000000307d5d15
123,100000003095db16
124,1000000030c01b23
125,1000000031672135
126,1000000031bae28b
127,1000000031d08352
128,10000000329ce5ce
129,1000000032a1d5f1
130,10000000336b8149
131,10000000336d79f2
132,1000000033e50e30
133,1000000034bf2703
134,1000000034e61562
135,1000000034f10f7d
136,1000000035689137
137,100000003578709b
138,10000000360fd3ae
139,100000003611e8d4
140,1000000036803540
141,1000000036b725aa
142,10000000376d9e25
143,1000000037ceebc6
144,10000000382ffbce
145,1000000038cb9742
146,1000000038f12e07
147,1000000038f4e9bc
148,10000000391f5111
149,10000000395dfe8e
150,1000000039fb05d6
151,100000003a04480f
152,100000003b665c0b
153,100000003b69bb32
154,100000003bdde3c3
155,100000003bffdcb8
156,100000003c5ccef7
157,100000003cf2bf7c
158,100000003dcccdac
159,100000003e046977
160,100000003e11c069
161,100000003ec0ed43
162,100000003fd4731b
163,100000003ff9fda5
164,100000004030a9b9
165,1000000041038164
166,10000000413e07d0
167,1000000041e15143
168,1000000041f01485
169,10000000421fde08
170,10000000427d8233
171,1000000042852ba5
172,1000000042bc06a4
173,1000000042e7a33e
174,10000000432012dd
175,10000000435ff351
176,1000000043797a6e
177,1000000043fe2320
178,100000004493c7b7
179,10000000453d4012
180,1000000045f8594e
181,10000000467e2bee
182,1000000046c4fb98
183,1000000046e25748
184,1000000047068e9e
185,10000000478ab7ee
186,1000000047fcce5e
187,100000004865a32d
188,1000000048b104cf
189,10000000493020b4
190,10000000493f14e7
191,1000000049612ed5
192,1000000049b3fa85
193,1000000049c2bfc8
194,100000004a776d9f
195,100000004abffb85
196,100000004ae98964
197,100000004b07548f
198,100000004b4682b1
199,100000004c6e3770
200,100000004ccb41cc
201,100000004cdd29e7
202,100000004cf01e94
203,100000004d3a94d4
204,100000004d8a649d
205,100000004eb65d0e
206,100000004efd18bb
207,100000004f0431a0
208,1000000050397941
209,10000000505dafe7
210,1000000050f6f4cf
211,1000000051a353c9
212,100000005229244d
213,10000000525c6760
214,1000000052971cab
